post_id,user_id,date,text,langs
33342165,1255741,202401160234,"Join me Tuesday, January 16th at 7 PM ET for “Teaching in the Age of AI”. 

Learn practical strategies and insights for integrating AI tools in teaching.",['eng']
196351689,288241,202403080348,Some of my friends worked with AI defense research and… uhh. This was a decade ago and… yeah.  I was invited to enough of those meetings to know that the landscape now has got to be scary.,['eng']
164974630,215938,202307051646,"This new piece from @@11270 is so good. It explains wtf is going on w Silicon Valley & AI risk. Between lines, it connects dots for me I hadn't worked out yet. Insanely well-written and well-researched.
https://www.washingtonpost.com/technology/2023/07/05/ai-apocalypse-college-students/",['eng']
110383208,232077,202402271855,"Harvard Admin: how much will save us to teach a course with AI?

Treasurer: about $30,000, sir

Admin: I see, and how’s the Endowment?

Treasurer: $49.44 billion, sir

Admin: I see, well, the market has forced our hand 🤔",['eng']
110391579,232077,202312232329,Really wish people would listen as many of us on the academic side keep telling you that the Silicon Valley AI crowd is a fully formed neo reactionary/techno-fascist movement that is attempting to “disrupt” democracy at fundamental levels.,['eng']
84655233,131065,202311042036,"throwing this into the void: i may be on the market for a principal+ role

lately: AWS, python, ""AI"" (ugh), TF, CI/CD. Recently did a SOC2 by myself.

>10 years of exp., mostly at early startups. mix of fintech, hedge, academia, & legal. however, i will k*ll you with h*mmers if you suggest crypto",['eng']
124575891,119695,202403020706,Obvs run off AI which I hadn’t realized til recently would be a plagiarism machine.,['eng']
62725956,66240,202403182053,"AI-written peer review of AI-written articles is the kind of thing that's going to get a lot of people with mixed feelings about higher ed and academia to hop aboard the ""burn it all down"" bandwagon.",['eng']
107890190,335117,202402010946,"It looks like AI has taken my regular copywriting gig, so now I'm distinctly under employed. Anyone want a writer? I do comics, prose fiction, academia, copywriting, criticism, and games.",['eng']
49745412,2171,202312122238,"Y'all. It happened AGAIN. 

Stop relying on generative AI for legal research. Or don't, but then I'm going to use you for my CLE.",['eng']
172803072,171588,202401030035,AI bros getting heated about plagiarism is pretty funny,['eng']
230566212,139367,202401051821,Just attended a great panel on #GenAI at #MLA24–was happy to learn that there are more similarities than differences between student & instructor perceptions of academic dishonesty when it comes writing collaborations with human or AI agents! HT John Gallagher,['eng']
231409971,155890,202401301833,"All Taylor Swift from now on. 

Thinking of only using Taylor Swift examples when I teach disinformation later this term.  Between the crazy conspiracy theories in this NYTimes article plus the AI frauds with her voice and image, there are plenty of examples. 

www.nytimes.com/2024/01/30/u...",['eng']
49157639,155890,202401271751,"No worries. I don’t do modeling or AI. 
Lots of applied research in cog psych. I’ve done work on memory construction, false memories, autobiographical memory. I’ve done attention research looking at inattentional blindness (the failure to notice things). Plenty of folks working on truth judgments.",['eng']
231410196,155890,202312271526,Does anyone know if any academic organizations have considered suing AI companies? Pretty sure they are both grabbing intellectual property and incorrectly attributing claims to our publications. Just a quick check of ChatGPT shows errors in claims attributed to articles.,['eng']
231410259,155890,202312190021,Hurts their grade to make these sorts of erroneous attributions. So I'm not trying to argue plagiarism really. I'm just now wondering in the search tools that are using LLMs and AI tools are just getting a lot of this stuff wrong and my students don't check originals.,['eng']
159410520,155890,202310291542,"What’s the tells for AI essays? And what type of prompts are you using that led to this? 

I don’t feel like I’ve seen this form of plagiarism yet, but I worry for take home exams.",['eng']
231411153,155890,202307201506,"The academic writing may be worse. When students ask AI for essays and papers, these programs make up citations. They can also write meaningless drivel comparing things when there is a clear answer currently in the field.",['eng']
22830916,120541,202403180033,"
Something felt 'off' – how AI messed with our human research, and what we learned www.rnz.co.nz/news/on-the-...",['eng']
144760725,1601783,202310160721,"Prompt: ""When Data (from Star Trek) decided to conduct a bizarre experiment teaching a robot to do the Macarena, they brought along a quantum-powered self-folding umbrella, and the result was a binary burst of hilarity!"" #chatGPT #leonardoAI #AI #generativeAI #funny",['eng']
34362914,496064,202310160037,"Given the circumstances, I wanted to share this survey again. My colleagues at USC and I want to hear about antisemitic language that you have found harmful so we can try to teach AI not to repeat it.",['eng']
78418540,87347,202312180937,"AI has the potential to work as a wingman in a co-teaching scenario, giving more potential for differentiation /personalisation of learning. 

But, nah, fuck that, let's replace educators. They're the problem that needs solving. 

Tech bros can't even pronounce pedagogy, let alone understand it.",['eng']
225674809,1213745,202312041405,"How is AI actually shaping the practice of journalism? On this week's Knowing Machines podcast, Mike Ananny digs into the research & interviews he and Jake Karr have been releasing lately",['eng']
138327109,360026,202308191229,"I like that I saw a B&N ad this morning talking about selling travel guides made “for humans, by humans.” A not so subtle dig at Amazon churning out sales of fakey AI-barf travel guides. “Our stuff isn’t made by shitty plagiarism robots!” isn’t the worst sales pitch.",['eng']
169379712,1678089,202402271420,"“Starting this fall, a popular intro-level coding course at Harvard University, CS50, will be taught by an AI instructor.”

Well, that will take care of it being a popular course",['eng']
169380161,1678089,202401312323,What’s ✨neat✨about this is how AI is scraping up all this garbage and feeding it to tech companies propped up by VCs beholden to billionaires. Just imagine the Education platforms that replace teachers bc Rufo’s school board activities …,['eng']
24817361,318202,202402121113,"SIAM J. Discrete Math.: Stable Approximation Algorithms for the Dynamic Broadcast Range-Assignment Problem
https://epubs.siam.org/doi/abs/10.1137/23M1545975?ai=sa&mi=9cks17&af=R",['eng']
183950329,396242,202310020901,"No, you are not an ‘AI artist’. You’re placing an order online. At best, that makes you a client. You’re a client for a plagiarism service.

Pick up a pencil, a pen or a paintbrush. Making art is cheap and the pleasure is in the process – the failures and the successes. Join in.",['eng']
215619578,250124,202402071337,"How are we supposed to teach students how to respect other people's labor, and/or how to read, think and write for themselves and not rely on the asinine bleatings of a LLM if universities won't get their shit together enough to say that the use of generative AI is unethical?",['eng']
215621912,250124,202311132317,"I resent how AI has commandeered every research agenda, curricular program, funding initiative, policy agenda. Every grant program, fellowship theme, new funding initiative: AI + [Fill in the Blank]. AI and Society! AI and Public Health! AI and Pedagogy! AI and Rubber Chickens! I really don't care.",['eng']
215623085,250124,202309210702,"I'm seeing a lot of bandwagon jumping blogs/training courses/seminars on for e.g. ""ChatGPT in the classroom"" encouraging us 'not to be afraid of AI' but so far precisely zero of these are considering the ethics, e.g. what's done with the info we feed it, whose labour we are profiting off etc. hbu?",['eng']
80004693,435771,202312121510,Looking forward to this student panel on GenAI at the ALT Winter Summit on Ethics and Artificial Intelligence. With @@139282 @@11335 and @@139187 facilitating.,['eng']
80004694,435771,202312121337,"Join us on January 9th for ""AI and Assessment Hackathon"" in collaboration with @@4138933 Skills Centre. Participants will design changes that can be used in teaching practice - whether immediately or in the future. Register to attend via shorturl.at/eguy2  @@1038399",['eng']
80004705,435771,202311291828,"Two uses of generative AI for teaching and learning to put on your radar: derekbruff.org?p=4176. And by ""put on your radar"" I mean ""some courses might already be doing these things.""",['eng']
80004714,435771,202311192035,How to teach with AI tools in ways that meet faculty concerns about ethics and equity. www.chronicle.com/article/why-...,['eng']
79305235,30691,202310010226,"AI-generated Garfield comics: good, the more monstrous the better

AI-generated Calvin and Hobbes comics: sad, depressing

AI-generated Family Circus: indistinguishable, passes the turing test",['eng']
23497220,53915,202311062046,"Postdocs, please apply! Stanford Existential Risks Initiative 2-year postdoctoral fellowship starting 9/24. Extreme climate change, nuclear war/winter, pandemics, emerging tech e.g. synthetic biology, AI. 70% research, 30% teaching. Deadline Dec 6.",['eng']
36538452,705748,202310201258,"Jesus, I just wanted to do some research for my book.
This is the second AI- generated ""history"" book I've encountered this month.
It has a bloated, bloviating style, with heavy repetition and zero  historical calories.

The enshittification of all things continues apace.",['eng']
